Attribute,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
std. dev.,0.3045,0.7192,0.5329,0.3801,0.9697,1.287,0.3742,0.6704,0.8654,1.1954,0.6639,0.7124,0.5907,0.4294,1.0065,0.8128
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010,,,,,,,,,,,,,,,,
value,1.7188,3.2305,2.5969,1.5917,4.3177,5.0424,3.8279,3.455,3.1134,5.096,5.4648,4.0257,1.9874,2.0654,4.2474,3.2068
min,0.8,1.9,1,0.6,2,2.7,2.3,1.4,1.6,3.2,3.4,1.2,0.8,0.9,2.3,1.4
max,3.5,5.4,6.3,3,7.6,8,5.9,7.2,5.9,8.6,7.8,8.1,3.6,3.1,11.7,6.2
mean,1.7389,3.2462,2.6316,1.581,4.3,5.0714,3.8429,3.4591,3.12,5.1,5.4857,4.0348,1.9692,2.0692,4.2615,3.2176
std. dev.,0.7022,0.9386,1.4735,0.6439,1.3697,1.6941,1.3402,1.3752,1.2347,1.8905,1.516,1.5441,0.8985,0.7761,2.4377,1.5541
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000,,,,,,,,,,,,,,,,
value,9.544,16.13,11.9679,7.3981,22.1187,16.7635,13.7662,14.8302,15.8599,19.7474,17.9238,19.2556,9.6168,16.9784,21.9099,24.665
min,5.8,11.5,7.9,3.8,12,11.4,10.3,9.3,12,13.4,13.4,14.8,6.1,9.9,17.2,17.9
max,15.9,26.1,17.6,10.8,34.1,20.3,16.4,23,22.3,25.9,25.2,25.4,14.8,28.2,30.1,31.2
mean,9.5889,16.1308,11.9737,7.3905,22.15,16.7571,13.7857,14.8136,15.8467,19.7364,17.9143,19.2348,9.5846,17,21.9308,24.7
std. dev.,2.9195,4.3194,2.2469,1.719,5.5983,2.4267,2.4409,3.1056,2.9515,4.1915,3.8787,2.4686,2.6636,5.0339,3.9343,3.7502
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990,,,,,,,,,,,,,,,,
value,9.5317,13.6895,12.8643,9.3111,18.9884,14.2001,13.325,14.5654,16.3463,17.902,15.319,18.0237,10.1271,15.6554,21.7797,19.6191
min,6.2,11.1,7.9,6.3,15.1,3.5,9.1,7.9,8.6,14.4,8.6,14.9,6.1,12.8,14.2,14
max,13.4,17.3,16,14.5,26.2,16.6,17.8,19.5,20.9,21.3,24.9,20.1,14,21.6,31,27.5
mean,9.5667,13.6615,12.8789,9.2952,19.0227,14.15,13.3571,14.5682,16.36,17.9273,15.3857,18.0043,10.0923,15.6692,21.7846,19.6412
std. dev.,1.9926,1.6434,1.9472,1.9747,3.1129,3.3888,3.4316,3.2806,3.2366,2.2874,4.1645,1.405,2.4541,2.5539,4.773,3.6113
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980,,,,,,,,,,,,,,,,
value,12.2784,12.5261,10.0923,8.4016,14.9596,10.2522,12.5795,13.9035,16.2847,14.8787,14.1225,15.6642,13.8743,15.4479,17.678,20.5278
min,8.2,10.7,5.3,5.6,7,6.3,10.4,10,10.9,8.7,10.8,10.8,7.9,9.3,13.1,15.2
max,19.8,14.6,12.5,11.7,18.8,14.1,14.5,16.5,29.6,18.7,16.3,20,18.7,22,19.6,26.9
mean,12.3111,12.5231,10.0684,8.3857,14.9591,10.2643,12.5571,13.8909,16.2867,14.8636,14.1143,15.6609,13.8385,15.4462,17.6923,20.5176
std. dev.,3.1177,1.3249,1.83,1.6794,3.0181,1.8748,1.5841,1.7004,5.7214,2.9787,1.7672,2.3343,3.0046,3.5456,2.2314,3.7061
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970,,,,,,,,,,,,,,,,
value,12.8858,14.8985,15.2753,14.2776,14.563,16.8485,15.3019,16.2044,19.2595,15.2699,16.214,16.2572,18.6636,19.0576,15.0339,14.8038
min,11.3,10.5,11.3,10,8.8,13.3,12.1,11.9,14.7,11.7,12.1,11.6,9.8,14.7,9.4,9.9
max,16.2,19.1,21.6,20.1,19.4,22.1,19.2,21.1,24.5,18.5,20.1,21.7,23.5,23.7,21.5,20.6
mean,12.8944,14.9,15.2579,14.2571,14.5864,16.8714,15.3,16.1727,19.2867,15.2364,16.2071,16.2696,18.6308,19.0692,15.0077,14.7941
std. dev.,1.2061,2.1691,2.5367,2.4496,2.6673,2.7485,2.4739,2.1352,2.7749,2.0265,2.4279,2.2846,4.5051,2.8897,3.5815,2.7759
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960,,,,,,,,,,,,,,,,
value,10.8506,8.9137,11.4173,12.1377,7.3604,8.9716,10.1657,11.8933,10.0194,9.201,10.9951,9.6703,15.2083,9.9717,7.1768,6.715
min,6.2,6.7,7.6,7.7,2.2,6.2,5.8,7,7.2,5,5.8,5.3,11.8,3.1,4.7,4.9
max,14.9,11.9,15.3,18.8,12,11.5,14.3,18.2,12.6,13.9,16.8,12,20.3,15,9.8,14.5
mean,10.85,8.9231,11.4053,12.1762,7.3455,8.9857,10.1857,11.8591,10.0267,9.2273,11,9.6609,15.1769,9.9692,7.1692,6.7118
std. dev.,2.2332,1.587,2.0416,2.7481,2.1491,1.7523,2.715,2.7311,1.8359,2.3204,2.999,1.5412,3.2213,2.6075,1.7722,2.4002
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950,,,,,,,,,,,,,,,,
value,12.1612,10.0811,12.5938,14.7016,6.3348,9.5035,9.1292,11.1154,6.9511,6.0073,8.8264,7.3446,12.918,8.8086,5.8466,4.7374
min,7.2,7.1,9.2,9.5,0.5,6.6,6.6,6.1,3.8,3.2,3.5,5.1,8.7,3.1,2.2,1.5
max,16.7,12.8,19.2,19.7,9.8,16.1,11.3,18.6,10.4,9.4,14.6,11,18.9,10.9,9.1,7
mean,12.1167,10.1,12.5421,14.7571,6.3182,9.5143,9.1429,11.1273,6.92,5.9909,8.8143,7.3348,13,8.7923,5.8231,4.7294
std. dev.,2.9745,1.6543,2.3124,2.7116,2.2498,2.3148,1.926,3.2984,2.2622,1.7444,3.1102,1.4584,3.1086,1.996,1.734,1.6189
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940,,,,,,,,,,,,,,,,
value,5.8741,4.4794,5.9398,7.9191,3.1911,4.366,4.785,5.1961,3.3075,2.4917,4.0343,3.2198,5.6913,4.9425,1.8882,1.6693
min,3,3,3.9,5.2,0.7,2.6,3.8,3.2,0.6,1.3,1.6,1.6,3.5,1.1,0.7,0.4
max,7.9,6.3,9.9,12,6.6,8.9,6,8.4,5.3,4.1,5.7,4.5,8.9,7.1,3.4,3.3
mean,5.8556,4.5,5.9053,7.9238,3.1955,4.3643,4.7857,5.2318,3.28,2.4909,4.0143,3.2174,5.7154,4.9231,1.8769,1.6647
std. dev.,1.303,0.9713,1.4378,1.651,1.245,1.6523,0.8174,1.4247,1.4915,0.7778,1.3196,0.6534,2.1385,1.6754,0.735,1.0025
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939,,,,,,,,,,,,,,,,
value,24.3952,14.3575,16.3574,23.5552,5.4541,11.5342,15.7762,7.4205,7.0012,6.8039,4.5911,4.7101,10.9083,5.9482,2.4109,2.23
min,16.9,9.2,12,12.9,1.3,3.6,5,3.5,0.3,1,1.7,1.6,3.1,3,0.4,0.5
max,34,20.9,25.8,35,10.2,15.9,31.6,14.8,14.3,14.7,8.5,10,28.6,7.9,5.8,6.6
mean,24.3111,14.3154,16.4316,23.5381,5.4136,11.5,15.7,7.4591,7.0067,6.8182,4.55,4.7609,10.9923,5.9308,2.4154,2.2
std. dev.,5.1923,4.0786,3.1521,5.6872,2.3099,3.7959,7.9316,2.9597,4.4294,4.5952,1.9907,2.2751,7.8003,1.6715,1.5137,1.7871
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing unit,,,,,,,,,,,,,,,,
value,17.0433,19.2453,19.7985,17.3018,21.4357,23.3104,22.5257,19.6399,23.4854,27.522,25.3901,20.6788,17.3952,20.6043,28.1895,18.6228
min,13.9,13.7,16.1,14.7,16.5,19.8,18.5,15.9,19.3,22.6,20.2,13.5,13.7,15.8,21.1,15.7
max,21.6,24.2,26.6,22.8,28.2,28.5,29,26.6,28.5,34.6,30.6,25.4,21.8,25.4,39,23.7
mean,17.0722,19.2615,19.8,17.2619,21.4136,23.2929,22.5857,19.6727,23.5267,27.5455,25.4,20.6391,17.3692,20.6846,28.2846,18.6059
std. dev.,2.0568,3.1224,2.3407,2.1481,3.2334,2.3335,4.2172,3.0159,2.4752,3.9244,3.0319,2.5502,2.5857,2.9908,5.8364,2.3581
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing unit,,,,,,,,,,,,,,,,
value,26.2691,26.7134,27.0317,25.2846,28.8434,29.236,28.949,26.5928,30.3474,31.2214,28.973,26.9043,28.9655,31.5717,29.176,29.2624
min,24.5,23.4,22.9,21.1,23.2,23,27.6,22.8,27.4,24.2,25.4,19.9,25,28,23.7,25.2
max,28.2,30.4,30.1,28.6,32.9,33.7,30.8,29.7,34.4,35.4,32.4,30.4,31.9,35.4,38.6,34.7
mean,26.2667,26.7538,27.0632,25.2905,28.8818,29.2714,28.9429,26.6273,30.3133,31.1727,28.9643,26.8652,28.9769,31.5154,29.1385,29.3
std. dev.,1.3235,2.1493,1.8587,1.8264,2.2343,2.619,1.1717,2.038,2.1,3.0848,2.0175,2.7918,2.1607,2.3441,3.872,2.3788
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing unit,,,,,,,,,,,,,,,,
value,26.3658,26.783,25.359,24.5142,27.3878,24.8651,23.3888,25.2625,24.532,22.4237,23.3297,26.0898,25.3319,26.2315,22.8436,29.1366
min,23.4,21.9,21.6,21.4,22.8,19.5,19.1,18,17,17.2,18.9,21.8,21.6,23.1,17.1,24.2
max,30.6,33.5,28.8,26.6,33.3,29.4,26.3,28,28.1,26.8,26.4,32.2,28.2,28.4,28,32.6
mean,26.3611,26.7769,25.3158,24.519,27.3864,24.8714,23.4,25.2273,24.5267,22.4455,23.3,26.1304,25.3385,26.2308,22.7769,29.1294
std. dev.,1.6411,2.8511,1.873,1.2065,2.9297,2.7105,2.3523,2.3101,2.5781,3.0108,2.207,2.0256,1.876,1.5798,3.0499,2.1757
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing unit,,,,,,,,,,,,,,,,
value,13.9476,13.3137,13.2385,13.9647,11.9916,11.1502,11.7194,13.1954,11.8567,10.547,10.6215,13.3124,13.5291,11.5286,11.0136,13.1369
min,12.5,10.1,11.5,9.6,9.6,8.5,8.6,10,10.1,9.1,7.9,10,10.8,9.1,8,9.8
max,15.2,16.3,15.2,16.1,14.8,13.2,13.5,16.2,13.8,11.7,13.3,17.8,15.9,13.2,12.8,15.8
mean,13.9444,13.2692,13.2421,13.981,11.9909,11.1286,11.7,13.2,11.8667,10.5364,10.6214,13.3217,13.5385,11.5231,11.0077,13.1294
std. dev.,0.7446,1.9362,0.9477,1.3873,1.3938,1.1269,1.8592,1.6665,1.0362,0.888,1.2789,1.6871,1.4981,1.2742,1.3407,1.6355
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing unit,,,,,,,,,,,,,,,,
value,7.4299,6.907,6.7694,7.9528,5.1464,5.6182,6.0157,6.7711,5.516,4.3372,5.6319,6.0696,7.1695,5.2385,4.7432,5.5852
min,6,6,5.5,6.3,3.1,3.9,4.6,5,3.5,2.8,3.4,4.4,5.9,4.3,2,4
max,8.6,8,8.4,9.7,7.5,6.9,7.5,8.4,8.8,6,7.5,9.8,8.6,8.1,7,7.4
mean,7.4167,6.9077,6.7684,7.9524,5.1364,5.6143,6,6.7545,5.5067,4.3364,5.6429,6.0913,7.1692,5.2385,4.7538,5.5765
std. dev.,0.7294,0.7147,0.7789,0.9217,1.195,0.8291,1.1075,1.0313,1.5262,0.9447,1.112,1.1501,0.7587,0.9828,1.3445,1.0365
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing unit,,,,,,,,,,,,,,,,
value,8.9671,7.0458,7.7552,11.0202,5.2061,5.8278,7.4437,8.5352,4.2567,3.9482,6.067,6.9659,7.5474,4.8168,4.0338,4.2319
min,6.7,4.6,5.4,7.6,1.4,3.5,5.7,6.1,2.6,2.5,2.5,3.6,5.3,2.6,1.3,1.8
max,11.3,9.7,9.3,16.8,7.9,9.7,10,11.7,5.8,6.3,8.6,9.7,11.9,6.3,5.9,7.6
mean,8.9611,7.0385,7.7632,11.0333,5.2,5.8286,7.4143,8.5136,4.2533,3.9636,6.0857,6.9739,7.5462,4.8,4.0385,4.2353
std. dev.,1.3591,1.5409,0.9702,2.3397,1.5934,1.5935,1.8452,1.6519,0.9553,1.375,1.5995,1.3171,1.8091,1.0947,1.258,1.9624
,,,,,,,,,,,,,,,,
"2016 Estimate; VALUE - Owner-occupied units - Less than $50,000",,,,,,,,,,,,,,,,
value,2.8853,5.9061,7.4443,10.1327,4.3659,5.0331,8.139,12.8743,3.8632,5.5379,9.0667,10.1667,1.9794,5.5527,7.7714,11.051
min,1.4,2.8,2.7,6,2.2,1.9,4.2,5.8,1.8,3.3,5.1,5.3,0.7,3.5,3.6,4.6
max,4.6,10.1,10.5,22.6,7.4,8.9,15.3,18.5,6,8.6,14.1,18.2,3.6,7.5,12.7,27.1
mean,2.9111,5.9385,7.4368,10.081,4.3818,5.0857,8.1286,12.8818,3.8867,5.5364,9.05,10.0652,1.9846,5.5692,7.7769,11.1412
std. dev.,1.0476,2.1682,2.1297,4.4156,1.6265,2.4933,3.7295,3.7193,1.4227,1.5788,2.7126,3.1615,0.805,1.4528,2.376,6.4268
,,,,,,,,,,,,,,,,
"2016 Estimate; VALUE - Owner-occupied units - $500,000 to $999,999",,,,,,,,,,,,,,,,
value,9.1586,3.7476,2.4584,1.9449,8.1139,4.3565,3.6182,2.7504,16.742,5.6429,2.892,2.8672,42.0752,8.6145,4.9811,5.012
min,3.7,1.5,0.9,0.5,1.3,2.1,1.6,0.9,0.8,1.9,0.6,0.5,25.9,3.6,0.5,0.7
max,28.6,7.7,4.6,4.1,15.3,6.4,5.9,4.7,35.4,12,7.6,6.6,55.4,21.8,8.8,17
mean,9.1611,3.7615,2.4684,1.9524,8.1545,4.35,3.6143,2.7409,16.66,5.6364,2.8571,2.913,42.1077,8.6308,4.9692,4.9353
std. dev.,6.0013,1.4689,1.1562,0.8501,2.9002,1.2005,1.5345,1.0874,8.2345,3.0588,1.8224,1.5022,10.0197,5.1636,2.3925,4.1872
,,,,,,,,,,,,,,,,
"2016 Estimate; VALUE - Owner-occupied units - $50,000 to $99,999",,,,,,,,,,,,,,,,
value,4.99,8.0751,18.842,24.9908,5.447,8.9912,17.6435,22.6587,3.0764,8.8602,21.5942,18.7081,1.7648,5.11,13.9903,17.9436
min,1,1.3,11.5,16.5,1,3.9,9.4,14.1,1,3.4,12.5,4.2,0.4,2.1,6.1,4.4
max,9.8,14.1,29,37.7,13,15.8,23.3,35.5,8,14.6,27.7,29.2,4.1,9.7,24.8,37.1
mean,5.0222,8.0385,18.7947,24.9048,5.5227,9.0214,17.6714,22.7091,3.0933,8.8818,21.6571,18.5304,1.7692,5.1231,14.0462,18.0941
std. dev.,2.8256,3.599,5.4381,5.167,3.6003,3.9968,4.2563,6.2192,2.428,3.7573,4.6702,5.7536,0.9187,2.3784,5.2703,9.2915
,,,,,,,,,,,,,,,,
"2016 Estimate; VALUE - Owner-occupied units - $300,000 to $499,999",,,,,,,,,,,,,,,,
value,25.5284,15.145,9.2882,7.2575,23.9092,15.9155,11.0461,7.8498,35.3362,18.1814,8.4203,9.7191,25.3397,24.8341,13.8997,12.7291
min,16.3,9.5,5.3,3.4,14.6,8.7,8.4,3.2,19.6,12.6,3.7,3.3,6.5,9.2,3.7,2.7
max,39.6,23.7,12.9,14.1,42.1,24.5,15.1,12.9,49.2,26.2,14.1,20.8,36.2,38.6,23.4,24.8
mean,25.4944,15.1846,9.3053,7.2762,23.8636,15.8929,11.0429,7.8545,35.2333,18.1818,8.3786,9.8261,25.3,24.7923,13.8769,12.6118
std. dev.,5.7644,4.0066,2.7617,2.845,6.8885,4.6024,2.253,2.9899,7.8693,4.5008,2.9242,3.9207,8.7187,8.6858,5.5009,7.0586
,,,,,,,,,,,,,,,,
"2016 Estimate; VALUE - Owner-occupied units - $200,000 to $299,999",,,,,,,,,,,,,,,,
value,29.6202,25.4984,17.814,14.7456,28.6816,26.0669,19.1096,15.4374,25.4412,23.8974,16.5079,18.7891,7.9437,29.0289,21.7888,19.1296
min,16.1,20.9,10.7,7.7,20.5,20.6,16.8,9.4,13,15.9,9.3,13.4,1.9,23.7,12.5,7.3
max,39.4,35.2,22.4,19.4,38.6,33.5,23.9,22.7,40.7,28.9,22.7,26.9,18.4,36.3,30.5,27.6
mean,29.5611,25.5923,17.8263,14.7905,28.5455,26.0857,19.0714,15.45,25.52,23.8727,16.5,18.8913,7.8769,29.0615,21.7462,19.0588
std. dev.,5.2019,4.6115,3.1883,3.1032,5.1005,4.2475,2.6367,3.6039,6.8729,3.8437,3.9282,3.9524,5.5302,3.7206,4.6489,5.8821
,,,,,,,,,,,,,,,,
"2016 Estimate; VALUE - Owner-occupied units - $150,000 to $199,999",,,,,,,,,,,,,,,,
value,16.3786,22.6385,19.806,17.3658,16.665,21.6405,18.2458,17.3947,8.4966,19.15,18.2983,18.5112,2.2696,15.2518,18.9764,16.6103
min,4.5,18.5,15.7,7.5,9.1,13.8,16.3,13.3,3.6,13.6,16,14.2,0.9,4.6,16.6,11
max,23.5,26.4,27.8,20.3,25.3,27.2,20.7,22.8,18.2,26.4,20.5,23.3,5.5,24.7,26.1,21.4
mean,16.3611,22.5923,19.8053,17.3905,16.65,21.6071,18.2429,17.3727,8.5467,19.1182,18.2929,18.587,2.2538,15.2308,18.9462,16.6294
std. dev.,4.2737,2.66,2.8391,2.9621,4.2025,3.4118,1.4639,2.301,4.1639,3.961,1.4221,2.5496,1.7572,5.8817,2.4972,2.9406
,,,,,,,,,,,,,,,,
"2016 Estimate; VALUE - Owner-occupied units - $100,000 to $149,999",,,,,,,,,,,,,,,,
value,9.8337,18.0721,23.7864,23.1594,11.4718,17.0659,21.5662,20.3852,4.2859,17.5603,22.5562,20.4636,1.5351,10.2256,17.4251,16.2686
min,2.1,9.8,17,16.2,3.9,9.6,14.3,15.2,1.5,8.6,17.8,13.4,0.8,3.3,10.2,6.7
max,16.3,25.1,29.8,29.5,18.5,25.4,26.9,27.3,10.2,24.9,31.1,27.7,2.9,20.7,29.2,25.4
mean,9.8778,17.9769,23.8,23.2,11.5136,17.0214,21.6,20.3409,4.3133,17.6091,22.6071,20.413,1.5308,10.2077,17.4769,16.2882
std. dev.,4.0231,5.1297,3.4404,3.226,4.7462,5.0531,4.2697,3.3457,2.6175,4.9484,3.7674,3.332,0.6434,5.293,5.4107,4.339
,,,,,,,,,,,,,,,,
"2016 Estimate; VALUE - Owner-occupied units - $1,000,000 or more",,,,,,,,,,,,,,,,
value,1.656,0.8946,0.5664,0.3783,1.354,0.8935,0.6308,0.6403,2.7588,1.1682,0.6661,0.7711,17.1086,1.3589,1.198,1.2382
min,0.7,0.5,0.1,0,0.1,0.2,0.2,0.2,0.3,0,0.3,0.2,6.3,0.5,0.3,0.1
max,6.6,2,1.5,0.8,3.5,2.6,1.5,1.2,9.7,3,1.5,1.9,42.1,2.5,2.9,3.5
mean,1.6611,0.8923,0.5684,0.381,1.3773,0.9,0.6286,0.6409,2.7467,1.1636,0.6571,0.7696,17.1923,1.3615,1.1923,1.2235
std. dev.,1.4357,0.4681,0.3481,0.2136,0.8217,0.6276,0.4499,0.284,2.4089,0.9791,0.3413,0.4028,10.1587,0.5284,0.7017,1.0733
,,,,,,,,,,,,,,,,
2016 Estimate; UNITS IN STRUCTURE - Total housing units - Mobile home,,,,,,,,,,,,,,,,
